full_name,age_range,current_status,work_style,career_inclination,highest_qualification,field_of_study,performance,key_subjects,technical_skills,skill_levels,tools,logical_thinking,mathematical_ability,communication,creativity,problem_solving,work_preference,learning_style,top_career_1,top_career_2,top_career_3,top_career_1_score,top_career_2_score,top_career_3_score,top_career_1_salary,top_career_2_salary,top_career_3_salary
user_9563,26-30,Student,Technical,Healthcare,Bachelor,Computer Science,Average,"['Math', 'Business']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Intermediate'}",['Excel'],9,6,8,5,9,Individual Work,Mixed,Nurse,Doctor,Biomedical Scientist,0.93,0.82,0.61,83050,94538,88868
user_2327,26-30,Graduate,Technical,IT / Tech,Intermediate,Computer Science,Low,"['Math', 'Physics']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Advanced'}","['Python', 'React']",5,10,5,8,8,Team Work,Practical,Data Scientist,Software Engineer,Cyber Security Analyst,0.79,0.84,0.58,138624,59204,84230
user_5902,18-22,Working,Social,Arts / Design,Master,Business,Low,"['Physics', 'Business']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Beginner'}",['Canva'],10,6,8,9,6,Team Work,Mixed,UI/UX Designer,Content Creator,Graphic Designer,0.86,0.83,0.76,148046,121734,68651
user_2487,18-22,Student,Technical,IT / Tech,Bachelor,Arts,Average,"['Physics', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Beginner'}","['Python', 'React']",5,4,6,7,5,Individual Work,Practical,Software Engineer,Data Scientist,Cyber Security Analyst,0.93,0.66,0.55,68436,109088,73242
user_1846,22-26,Graduate,Social,Science / Research,Master,Arts,Low,"['Physics', 'Biology']","['Data Analysis', 'Programming']","{'Data Analysis': 'Intermediate', 'Programming': 'Advanced'}","['Python', 'Excel']",6,10,4,8,9,Team Work,Practical,Research Scientist,Lab Analyst,Data Researcher,0.81,0.61,0.6,139802,95755,83052
user_5433,26-30,Working,Social,Science / Research,Master,Arts,Average,"['Physics', 'Arts']","['Data Analysis', 'Programming']","{'Data Analysis': 'Advanced', 'Programming': 'Beginner'}","['Python', 'Excel']",5,9,10,9,8,Team Work,Practical,Research Scientist,Lab Analyst,Data Researcher,0.88,0.78,0.77,139469,55290,46472
user_4468,22-26,Student,Analytical,Science / Research,Bachelor,Computer Science,High,"['Biology', 'Arts']","['Data Analysis', 'Programming']","{'Data Analysis': 'Advanced', 'Programming': 'Advanced'}","['Python', 'Excel']",6,8,10,10,8,Individual Work,Practical,Lab Analyst,Research Scientist,Data Researcher,0.71,0.82,0.69,67838,97826,101354
user_3483,26-30,Student,Technical,Healthcare,Intermediate,Computer Science,High,"['Physics', 'Business']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Beginner'}",['Excel'],5,4,8,10,10,Individual Work,Mixed,Pharmacist,Doctor,Nurse,0.75,0.71,0.59,117194,54782,113665
user_3069,22-26,Working,Technical,Healthcare,Intermediate,Arts,Average,"['Biology', 'Arts']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Advanced'}",['Excel'],6,6,9,6,6,Individual Work,Theoretical,Doctor,Biomedical Scientist,Nurse,0.78,0.7,0.6,77000,108239,112426
user_1246,18-22,Student,Technical,IT / Tech,Bachelor,Business,Low,"['Biology', 'Physics']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Beginner'}","['Python', 'React']",8,10,8,5,6,Individual Work,Practical,Cyber Security Analyst,AI Engineer,Software Engineer,0.82,0.63,0.76,127317,75627,53911
user_9088,18-22,Student,Social,Science / Research,Intermediate,Business,High,"['Business', 'Arts']","['Data Analysis', 'Programming']","{'Data Analysis': 'Advanced', 'Programming': 'Beginner'}","['Python', 'Excel']",9,7,5,10,9,Individual Work,Mixed,Research Scientist,Lab Analyst,Data Researcher,0.81,0.83,0.77,89394,103325,72185
user_5712,22-26,Working,Social,Business,Intermediate,Biology,Average,"['Biology', 'Arts']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Advanced', 'Writing': 'Intermediate', 'Networking': 'Advanced'}",['Excel'],6,8,10,8,5,Individual Work,Practical,Marketing Manager,Business Analyst,HR Manager,0.83,0.71,0.77,92121,95223,75763
user_7935,26-30,Working,Technical,Arts / Design,Intermediate,Arts,High,"['Physics', 'Biology']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Advanced'}",['Canva'],6,6,8,7,5,Team Work,Theoretical,Content Creator,UI/UX Designer,Graphic Designer,0.74,0.68,0.65,134027,84291,98774
user_2687,22-26,Student,Technical,Healthcare,Intermediate,Arts,Average,"['Biology', 'Business']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Intermediate'}",['Excel'],5,9,5,8,6,Team Work,Mixed,Nurse,Pharmacist,Biomedical Scientist,0.85,0.76,0.69,64452,73147,60176
user_1020,26-30,Student,Analytical,Healthcare,Bachelor,Arts,Low,"['Computer Science', 'Math']","['Writing', 'Data Analysis']","{'Writing': 'Intermediate', 'Data Analysis': 'Beginner'}",['Excel'],7,5,4,5,7,Individual Work,Practical,Biomedical Scientist,Doctor,Nurse,0.79,0.6,0.54,75144,66624,109645
user_6614,22-26,Working,Analytical,Business,Master,Biology,High,"['Business', 'Math']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Beginner', 'Networking': 'Intermediate'}",['Excel'],5,7,10,7,8,Team Work,Practical,HR Manager,Marketing Manager,Business Analyst,0.86,0.78,0.72,128961,80148,66280
user_4520,26-30,Graduate,Social,Arts / Design,Bachelor,Arts,Low,"['Arts', 'Physics']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Intermediate'}",['Canva'],6,6,9,5,7,Individual Work,Mixed,Content Creator,Graphic Designer,UI/UX Designer,0.74,0.71,0.64,142558,62700,62125
user_7973,26-30,Working,Analytical,Healthcare,Master,Computer Science,High,"['Arts', 'Math']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Advanced'}",['Excel'],7,4,7,7,5,Individual Work,Practical,Pharmacist,Nurse,Doctor,0.74,0.72,0.78,112507,75007,90870
user_3447,18-22,Student,Analytical,IT / Tech,Bachelor,Arts,High,"['Arts', 'Computer Science']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Beginner'}","['Python', 'React']",5,4,6,5,10,Individual Work,Theoretical,Data Scientist,AI Engineer,Cyber Security Analyst,0.88,0.72,0.68,66470,86443,56076
user_8488,26-30,Working,Creative,Healthcare,Intermediate,Biology,Average,"['Physics', 'Biology']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Beginner'}",['Excel'],8,9,10,9,5,Team Work,Practical,Nurse,Pharmacist,Biomedical Scientist,0.88,0.74,0.73,74839,103624,72269
user_3853,26-30,Student,Creative,Business,Master,Biology,Low,"['Business', 'Arts']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Intermediate', 'Writing': 'Intermediate', 'Networking': 'Intermediate'}",['Excel'],6,7,10,10,6,Individual Work,Mixed,Business Analyst,Marketing Manager,HR Manager,0.88,0.75,0.66,63714,79892,63544
user_4061,22-26,Working,Creative,Arts / Design,Bachelor,Biology,High,"['Computer Science', 'Business']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Intermediate'}",['Canva'],6,6,5,8,6,Team Work,Practical,Graphic Designer,Content Creator,UI/UX Designer,0.83,0.8,0.67,110247,90879,57955
user_4483,18-22,Working,Creative,Science / Research,Master,Computer Science,Low,"['Physics', 'Math']","['Data Analysis', 'Programming']","{'Data Analysis': 'Beginner', 'Programming': 'Beginner'}","['Python', 'Excel']",8,9,5,9,8,Individual Work,Mixed,Lab Analyst,Data Researcher,Research Scientist,0.86,0.69,0.72,86374,98964,70822
user_7522,26-30,Graduate,Creative,Healthcare,Master,Business,Average,"['Computer Science', 'Arts']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Advanced'}",['Excel'],5,8,8,8,6,Team Work,Mixed,Pharmacist,Nurse,Biomedical Scientist,0.78,0.63,0.53,63682,93977,53641
user_9472,26-30,Working,Social,Arts / Design,Intermediate,Biology,High,"['Computer Science', 'Biology']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Intermediate'}",['Canva'],6,6,6,10,5,Individual Work,Practical,UI/UX Designer,Graphic Designer,Content Creator,0.77,0.79,0.76,114174,122921,83588
user_4186,18-22,Working,Creative,IT / Tech,Master,Arts,Low,"['Computer Science', 'Math']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Intermediate'}","['Python', 'React']",10,4,10,8,10,Individual Work,Mixed,Data Scientist,Software Engineer,Cyber Security Analyst,0.8,0.65,0.63,99490,128400,63499
user_5398,18-22,Working,Creative,Arts / Design,Intermediate,Business,Low,"['Business', 'Math']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Beginner'}",['Canva'],8,6,5,5,6,Team Work,Theoretical,Content Creator,UI/UX Designer,Graphic Designer,0.74,0.75,0.52,111723,51729,51144
user_9331,18-22,Student,Technical,Business,Intermediate,Business,High,"['Math', 'Physics']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Intermediate', 'Networking': 'Beginner'}",['Excel'],9,6,4,9,8,Individual Work,Practical,Business Analyst,HR Manager,Marketing Manager,0.78,0.67,0.56,71729,71643,82545
user_5971,18-22,Graduate,Creative,Business,Master,Computer Science,Average,"['Biology', 'Arts']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Intermediate', 'Writing': 'Intermediate', 'Networking': 'Beginner'}",['Excel'],9,9,10,5,7,Team Work,Mixed,Business Analyst,HR Manager,Marketing Manager,0.73,0.6,0.7,63867,55185,74982
user_5721,26-30,Student,Analytical,IT / Tech,Intermediate,Biology,Low,"['Physics', 'Arts']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Beginner'}","['Python', 'React']",5,4,6,5,6,Individual Work,Mixed,Software Engineer,Data Scientist,AI Engineer,0.91,0.65,0.56,66392,129229,84600
user_5766,18-22,Graduate,Social,Science / Research,Master,Computer Science,Low,"['Physics', 'Biology']","['Data Analysis', 'Programming']","{'Data Analysis': 'Beginner', 'Programming': 'Beginner'}","['Python', 'Excel']",8,10,5,9,7,Individual Work,Mixed,Lab Analyst,Data Researcher,Research Scientist,0.8,0.65,0.73,109572,67966,93460
user_3831,26-30,Working,Social,Science / Research,Intermediate,Business,High,"['Physics', 'Business']","['Data Analysis', 'Programming']","{'Data Analysis': 'Intermediate', 'Programming': 'Intermediate'}","['Python', 'Excel']",7,6,9,4,10,Team Work,Practical,Lab Analyst,Data Researcher,Research Scientist,0.94,0.62,0.66,124895,81644,67700
user_7224,18-22,Graduate,Creative,Business,Intermediate,Computer Science,Low,"['Biology', 'Business']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Intermediate', 'Writing': 'Intermediate', 'Networking': 'Beginner'}",['Excel'],10,9,8,10,8,Team Work,Practical,HR Manager,Marketing Manager,Business Analyst,0.79,0.68,0.69,89186,97570,43337
user_8160,18-22,Working,Social,IT / Tech,Bachelor,Business,High,"['Biology', 'Math']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Intermediate'}","['Python', 'React']",9,4,4,10,6,Team Work,Theoretical,Cyber Security Analyst,Software Engineer,Data Scientist,0.76,0.83,0.69,105272,75898,40523
user_1965,22-26,Working,Social,Science / Research,Bachelor,Computer Science,Average,"['Computer Science', 'Biology']","['Data Analysis', 'Programming']","{'Data Analysis': 'Advanced', 'Programming': 'Intermediate'}","['Python', 'Excel']",5,4,10,9,8,Individual Work,Theoretical,Data Researcher,Research Scientist,Lab Analyst,0.83,0.61,0.56,71006,71824,84014
user_9929,26-30,Graduate,Technical,Healthcare,Bachelor,Business,Low,"['Computer Science', 'Physics']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Intermediate'}",['Excel'],5,5,5,4,9,Individual Work,Practical,Nurse,Biomedical Scientist,Doctor,0.89,0.75,0.77,84944,118443,78848
user_5319,22-26,Student,Analytical,Arts / Design,Intermediate,Business,High,"['Arts', 'Biology']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Intermediate'}",['Canva'],10,8,9,4,8,Team Work,Theoretical,Graphic Designer,Content Creator,UI/UX Designer,0.84,0.67,0.61,122510,51103,99176
user_6883,18-22,Graduate,Analytical,IT / Tech,Master,Biology,High,"['Physics', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Advanced'}","['Python', 'React']",5,9,10,6,10,Individual Work,Mixed,Data Scientist,AI Engineer,Cyber Security Analyst,0.87,0.76,0.68,102581,89697,103184
user_3362,18-22,Student,Social,IT / Tech,Intermediate,Computer Science,Low,"['Computer Science', 'Physics']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Beginner'}","['Python', 'React']",7,7,9,7,6,Team Work,Theoretical,Software Engineer,AI Engineer,Cyber Security Analyst,0.8,0.74,0.74,120578,55340,88155
user_9388,18-22,Working,Technical,IT / Tech,Bachelor,Arts,High,"['Arts', 'Biology']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Advanced'}","['Python', 'React']",10,4,9,9,6,Team Work,Theoretical,Cyber Security Analyst,Data Scientist,AI Engineer,0.71,0.84,0.79,103008,78568,51889
user_4863,26-30,Student,Social,IT / Tech,Bachelor,Business,Average,"['Biology', 'Arts']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Advanced'}","['Python', 'React']",9,8,6,5,6,Individual Work,Mixed,AI Engineer,Cyber Security Analyst,Software Engineer,0.8,0.79,0.69,136314,76658,75117
user_6996,22-26,Graduate,Creative,Science / Research,Master,Biology,High,"['Arts', 'Business']","['Data Analysis', 'Programming']","{'Data Analysis': 'Beginner', 'Programming': 'Intermediate'}","['Python', 'Excel']",10,4,10,7,9,Individual Work,Theoretical,Lab Analyst,Data Researcher,Research Scientist,0.86,0.69,0.66,115670,53072,46826
user_2149,22-26,Student,Technical,IT / Tech,Bachelor,Business,High,"['Math', 'Physics']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Intermediate'}","['Python', 'React']",6,10,5,6,8,Individual Work,Practical,AI Engineer,Data Scientist,Cyber Security Analyst,0.8,0.74,0.74,113557,101014,80262
user_9797,26-30,Working,Analytical,Healthcare,Bachelor,Business,High,"['Computer Science', 'Business']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Beginner'}",['Excel'],9,4,10,6,8,Individual Work,Mixed,Doctor,Nurse,Pharmacist,0.8,0.78,0.64,97916,89533,80293
user_4546,18-22,Graduate,Analytical,IT / Tech,Master,Computer Science,High,"['Biology', 'Computer Science']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Advanced'}","['Python', 'React']",6,9,9,7,6,Individual Work,Practical,Cyber Security Analyst,AI Engineer,Software Engineer,0.8,0.79,0.57,122118,123709,88615
user_7296,26-30,Graduate,Analytical,Healthcare,Master,Business,Average,"['Biology', 'Arts']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Beginner'}",['Excel'],9,7,6,5,8,Team Work,Mixed,Biomedical Scientist,Nurse,Doctor,0.91,0.73,0.7,65051,117776,82031
user_6191,18-22,Graduate,Technical,Science / Research,Intermediate,Business,Average,"['Computer Science', 'Business']","['Data Analysis', 'Programming']","{'Data Analysis': 'Beginner', 'Programming': 'Beginner'}","['Python', 'Excel']",7,4,8,6,5,Team Work,Theoretical,Research Scientist,Data Researcher,Lab Analyst,0.75,0.69,0.76,133199,121293,57583
user_6624,22-26,Student,Social,IT / Tech,Master,Biology,Average,"['Math', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Intermediate'}","['Python', 'React']",8,9,7,10,8,Team Work,Mixed,AI Engineer,Cyber Security Analyst,Data Scientist,0.79,0.7,0.74,121331,95508,92938
user_5291,26-30,Student,Technical,Arts / Design,Bachelor,Arts,Average,"['Business', 'Physics']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Advanced'}",['Canva'],7,7,7,10,5,Individual Work,Practical,UI/UX Designer,Content Creator,Graphic Designer,0.92,0.77,0.59,137757,91331,54106
user_9622,26-30,Working,Social,Healthcare,Bachelor,Biology,Average,"['Business', 'Biology']","['Writing', 'Data Analysis']","{'Writing': 'Intermediate', 'Data Analysis': 'Intermediate'}",['Excel'],10,5,8,10,10,Team Work,Theoretical,Nurse,Pharmacist,Doctor,0.87,0.66,0.75,125110,74065,72300
user_7302,22-26,Working,Creative,Science / Research,Intermediate,Computer Science,Average,"['Business', 'Math']","['Data Analysis', 'Programming']","{'Data Analysis': 'Intermediate', 'Programming': 'Advanced'}","['Python', 'Excel']",8,10,4,7,9,Individual Work,Mixed,Research Scientist,Lab Analyst,Data Researcher,0.86,0.63,0.69,77970,59681,65262
user_5252,22-26,Graduate,Social,Healthcare,Master,Business,High,"['Physics', 'Computer Science']","['Writing', 'Data Analysis']","{'Writing': 'Intermediate', 'Data Analysis': 'Advanced'}",['Excel'],8,6,9,6,10,Individual Work,Practical,Doctor,Pharmacist,Nurse,0.83,0.65,0.67,84005,111402,91886
user_3962,22-26,Graduate,Analytical,Science / Research,Master,Arts,Average,"['Physics', 'Business']","['Data Analysis', 'Programming']","{'Data Analysis': 'Beginner', 'Programming': 'Advanced'}","['Python', 'Excel']",10,8,9,7,6,Individual Work,Theoretical,Data Researcher,Lab Analyst,Research Scientist,0.93,0.75,0.65,87379,105873,62479
user_5291,22-26,Student,Technical,Arts / Design,Master,Computer Science,High,"['Arts', 'Business']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Advanced'}",['Canva'],9,7,8,10,9,Team Work,Practical,Graphic Designer,UI/UX Designer,Content Creator,0.94,0.82,0.53,146147,84070,64564
user_9506,26-30,Working,Creative,IT / Tech,Intermediate,Computer Science,Low,"['Computer Science', 'Math']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Advanced'}","['Python', 'React']",5,6,8,5,8,Team Work,Mixed,Data Scientist,Software Engineer,Cyber Security Analyst,0.75,0.65,0.74,91660,59714,109923
user_8679,26-30,Student,Social,Healthcare,Intermediate,Biology,Low,"['Biology', 'Math']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Intermediate'}",['Excel'],7,8,9,5,8,Team Work,Theoretical,Pharmacist,Doctor,Nurse,0.72,0.73,0.75,71688,117628,104736
user_5894,22-26,Working,Technical,IT / Tech,Master,Arts,Average,"['Biology', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Intermediate'}","['Python', 'React']",7,9,10,5,9,Team Work,Theoretical,AI Engineer,Cyber Security Analyst,Software Engineer,0.9,0.65,0.51,137742,72886,43550
user_8688,22-26,Student,Technical,Business,Bachelor,Arts,Average,"['Biology', 'Physics']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Intermediate', 'Networking': 'Beginner'}",['Excel'],10,8,5,5,10,Individual Work,Mixed,Business Analyst,Marketing Manager,HR Manager,0.88,0.79,0.59,85037,99238,50688
user_4372,22-26,Working,Creative,Arts / Design,Master,Computer Science,Low,"['Computer Science', 'Math']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Advanced'}",['Canva'],9,8,5,5,9,Team Work,Practical,Content Creator,Graphic Designer,UI/UX Designer,0.88,0.75,0.51,122796,104354,117933
user_2742,18-22,Graduate,Technical,Healthcare,Intermediate,Business,High,"['Biology', 'Math']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Beginner'}",['Excel'],8,4,10,5,5,Team Work,Practical,Pharmacist,Biomedical Scientist,Doctor,0.75,0.65,0.62,135924,75763,91031
user_3157,26-30,Working,Creative,IT / Tech,Bachelor,Biology,Low,"['Biology', 'Math']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Advanced'}","['Python', 'React']",9,10,9,5,9,Team Work,Practical,Cyber Security Analyst,Software Engineer,AI Engineer,0.85,0.82,0.59,134725,59682,63058
user_8334,18-22,Graduate,Technical,Business,Bachelor,Biology,High,"['Biology', 'Physics']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Intermediate', 'Networking': 'Intermediate'}",['Excel'],9,8,5,8,6,Individual Work,Theoretical,Business Analyst,Marketing Manager,HR Manager,0.78,0.69,0.74,84986,80937,97630
user_4614,22-26,Working,Creative,Arts / Design,Intermediate,Biology,Average,"['Arts', 'Business']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Intermediate'}",['Canva'],6,8,10,6,8,Team Work,Theoretical,Graphic Designer,Content Creator,UI/UX Designer,0.83,0.7,0.75,111268,57682,101013
user_4282,22-26,Student,Analytical,Business,Bachelor,Computer Science,Average,"['Computer Science', 'Physics']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Advanced', 'Networking': 'Intermediate'}",['Excel'],5,9,5,5,8,Team Work,Practical,Marketing Manager,Business Analyst,HR Manager,0.81,0.71,0.67,65440,78079,94893
user_1337,26-30,Working,Analytical,Business,Bachelor,Arts,Low,"['Biology', 'Math']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Advanced', 'Writing': 'Beginner', 'Networking': 'Advanced'}",['Excel'],7,4,8,8,9,Individual Work,Mixed,Marketing Manager,Business Analyst,HR Manager,0.93,0.83,0.67,92711,107421,102220
user_4376,22-26,Student,Technical,Business,Intermediate,Biology,High,"['Business', 'Biology']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Beginner', 'Writing': 'Advanced', 'Networking': 'Advanced'}",['Excel'],8,8,4,6,9,Individual Work,Practical,Business Analyst,HR Manager,Marketing Manager,0.77,0.82,0.75,86566,70559,118992
user_9494,26-30,Student,Technical,IT / Tech,Master,Business,Average,"['Computer Science', 'Physics']","['Programming', 'Data Analysis']","{'Programming': 'Intermediate', 'Data Analysis': 'Advanced'}","['Python', 'React']",5,7,10,6,7,Team Work,Theoretical,Data Scientist,Cyber Security Analyst,AI Engineer,0.74,0.7,0.69,104061,80472,40796
user_5626,22-26,Working,Creative,Arts / Design,Master,Biology,Low,"['Arts', 'Biology']","['Graphic Design', 'Writing']","{'Graphic Design': 'Beginner', 'Writing': 'Intermediate'}",['Canva'],7,5,8,4,8,Team Work,Mixed,Graphic Designer,Content Creator,UI/UX Designer,0.91,0.75,0.7,65195,66745,48217
user_2545,18-22,Student,Creative,Arts / Design,Intermediate,Business,Low,"['Computer Science', 'Arts']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Intermediate'}",['Canva'],5,7,7,8,7,Individual Work,Mixed,UI/UX Designer,Content Creator,Graphic Designer,0.7,0.84,0.54,73858,78155,104413
user_1667,18-22,Graduate,Technical,Healthcare,Intermediate,Business,High,"['Physics', 'Arts']","['Writing', 'Data Analysis']","{'Writing': 'Intermediate', 'Data Analysis': 'Advanced'}",['Excel'],8,5,7,10,5,Team Work,Theoretical,Biomedical Scientist,Doctor,Nurse,0.8,0.72,0.71,61095,59969,83322
user_5783,18-22,Working,Technical,Arts / Design,Master,Biology,Low,"['Business', 'Physics']","['Graphic Design', 'Writing']","{'Graphic Design': 'Intermediate', 'Writing': 'Advanced'}",['Canva'],6,5,8,4,8,Individual Work,Mixed,UI/UX Designer,Content Creator,Graphic Designer,0.95,0.67,0.55,79052,82152,94681
